initial key,initial value,current,proposed workspace,proposed bucket,proposed key,merged,confidence,reason
andpoe.text_experience_booking_option_addon_per_pax_filled,Additional Booking Info Per Pax,(blank),experience,experience_booking,option_addon_per_pax_filled,FALSE,high,blank → first-token feature rule
andpoe.experience_booking_product_summary_cruise_departure,Departure,(blank),experience,experience_booking,product_summary_cruise_departure,TRUE,high,value-identical cross-platform → merged
iospoe.experience_booking_product_summary_cruise_departure,Departure,(blank),experience,experience_booking,product_summary_cruise_departure,TRUE,high,value-identical cross-platform → merged
andpoe.experience_booking_product_summary_cruise_occupancy,Up to {0} guests,(blank),experience,experience_booking,product_summary_cruise_occupancy,,high,blank → first-token feature rule
iospoe.experience_booking_product_summary_cruise_occupancy,Up to {0},(blank),experience,experience_booking,product_summary_cruise_occupancy,,high,blank → first-token feature rule
iospoe.experience_booking_review_price_details,Price Details,(blank),experience,experience_booking,review_price_details,FALSE,high,blank → first-token feature rule
andpoe.experience_booking_review_special_request,Special Request,(blank),experience,experience_booking,review_special_request,TRUE,high,value-identical cross-platform → merged
iospoe.experience_booking_review_special_request,Special Request,(blank),experience,experience_booking,review_special_request,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_booking_special_request_label,Special Request,experience_booking|special_request_label,experience,experience_booking,special_request_label,TRUE,high,value-identical cross-platform → merged
iospoe.experience.special-request-form-modal.label.title,Special Request,experience_special|request_form_modal_label_title,experience,experience_booking,special_request_label,TRUE,high,value-identical cross-platform → merged
andpoe.experience_campaign_badge_label_ending_timer,Ends in {0},(blank),experience,experience_campaign,badge_label_ending_timer,TRUE,high,value-identical cross-platform → merged
iospoe.experience_campaign_badge_label_ending_timer,Ends in {0},experience_campaign|badge_ending_timer,experience,experience_campaign,badge_label_ending_timer,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_category_all,All,(blank),experience,experience_category,all,TRUE,high,value-identical cross-platform → merged
iospoe.experience.category.label.all,All,(blank),experience,experience_category,all,TRUE,high,value-identical cross-platform → merged
andpoe.text_columbus_total_review_message,"{0, plural, one {{0} reviews} other {({0} reviews)}}",(blank),experience,experience_columbus,total_review_message,,high,blank → first-token feature rule
iospoe.text_columbus_total_review_message,{0} reviews,(blank),experience,experience_columbus,total_review_message,,high,blank → first-token feature rule
andpoe.experience_common_change,CHANGE,(blank),experience,experience_common,change,,high,blank → first-token feature rule
andpoe.experience_common_pax,Pax,(blank),experience,experience_common,pax,TRUE,high,value-identical cross-platform → merged
iospoe.experience_common_pax,Pax,(blank),experience,experience_common,pax,TRUE,high,value-identical cross-platform → merged
andpoe.experience_common_person,Pax,(blank),experience,experience_common,person,TRUE,high,value-identical cross-platform → merged
iospoe.experience_common_person,Pax,(blank),experience,experience_common,person,TRUE,high,value-identical cross-platform → merged
andpoe.experience_common_see_all,SEE ALL,(blank),experience,experience_common,see_all,FALSE,high,blank → first-token feature rule
andpoe.experience_common_see_less_title_case,See Less,(blank),experience,experience_common,see_less_title_case,TRUE,high,value-identical cross-platform → merged
iospoe.experience_common_see_less_title_case,See Less,experience_common|see_less_case,experience,experience_common,see_less_title_case,TRUE,high,value-identical cross-platform → merged
andpoe.experience_common_see_more_title_case,See More,(blank),experience,experience_common,see_more_title_case,TRUE,high,value-identical cross-platform → merged
iospoe.experience_common_see_more_title_case,See More,experience_common|see_more_case,experience,experience_common,see_more_title_case,TRUE,high,value-identical cross-platform → merged
andpoe.experience_coupon_wallet_countdown_less_than_24_hours,Ends in {0},(blank),experience,experience_coupon,wallet_countdown_less_than_24_hours,TRUE,high,value-identical cross-platform → merged
iospoe.experience_coupon_wallet_countdown_less_than_24_hours,Ends in {0},(blank),experience,experience_coupon,wallet_countdown_less_than_24_hours,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_cp_gps_dialog_title_for_beauty_and_spa,Enable Your Location Services,experience_cp|gps_dialog_title_for_beauty_and_spa,experience,experience_cp,gps_dialog_title_for_beauty_and_spa,TRUE,high,value-identical cross-platform → merged
iospoe.experience.category-page.pop-up.title-BEAUTY_AND_SPA,Enable Your Location Services,experience_category|page_pop_up_beauty_and_spa,experience,experience_cp,gps_dialog_title_for_beauty_and_spa,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_cp_gps_dialog_title_for_entertainment,Enable Your Location Services,experience_cp|gps_dialog_title_for_entertainment,experience,experience_cp,gps_dialog_title_for_entertainment,TRUE,high,value-identical cross-platform → merged
iospoe.experience.category-page.pop-up.title-ENTERTAINMENT,Enable Your Location Services,experience_category|page_pop_up_entertainment,experience,experience_cp,gps_dialog_title_for_entertainment,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_cp_gps_dialog_title_for_playgrounds,Enable Your Location Services,experience_cp|gps_dialog_title_for_playgrounds,experience,experience_cp,gps_dialog_title_for_playgrounds,TRUE,high,value-identical cross-platform → merged
iospoe.experience.category-page.pop-up.title-PLAYGROUNDS,Enable Your Location Services,experience_category|page_pop_up_playgrounds,experience,experience_cp,gps_dialog_title_for_playgrounds,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_cp_gps_dialog_title_for_sports,Enable Your Location Services,experience_cp|gps_dialog_title_for_sports,experience,experience_cp,gps_dialog_title_for_sports,TRUE,high,value-identical cross-platform → merged
iospoe.experience.category-page.pop-up.title-SPORTS,Enable Your Location Services,experience_category|page_pop_up_sports,experience,experience_cp,gps_dialog_title_for_sports,TRUE,high,value-identical cross-platform → merged
andpoe.experience_currency_change_popup_from,From,experience_currency|change_popup_from,experience,experience_currency,change_popup_from,TRUE,high,value-identical cross-platform → merged
iospoe.experience_currency_change_popup_from,From,(blank),experience,experience_currency,change_popup_from,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_destination_filter_title,Destinations,experience_destination|filter_title,experience,experience_destination,filter_title,TRUE,high,value-identical cross-platform → merged
iospoe.experience.search-result-filter.label.destination-title,Destinations,experience_search|result_filter_label_destination_title,experience,experience_destination,filter_title,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_starting_from,Starts from,(blank),experience,experience_detail,starting_from,,high,blank → first-token feature rule
andpoe.experience_detail_tab_facilities,Facilities,experience_detail|tab_facilities,experience,experience_detail,tab_facilities,TRUE,high,value-identical cross-platform → merged
iospoe.experience_voucher_know_before_you_go_tray_facilities,Facilities,(blank),experience,experience_detail,tab_facilities,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_how_to_use,How to use,experience_detail|tab_how_to_use,experience,experience_detail,tab_how_to_use,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_tab_how_to_use,How to use,experience_detail|how_to_use,experience,experience_detail,tab_how_to_use,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_location,Location Details,experience_detail|tab_location,experience,experience_detail,tab_location,TRUE,high,value-identical cross-platform → merged
iospoe.experience.product-detail.label-map-title.transportation-venue,Location Details,(blank),experience,experience_detail,tab_location,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_more_info,More info,experience_detail|tab_more_info,experience,experience_detail,tab_more_info,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_tab_more_info,More info,experience_detail|more_info,experience,experience_detail,tab_more_info,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_overview,Overview,experience_detail|tab_overview,experience,experience_detail,tab_overview,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_tab_overview,Overview,experience_detail|overview,experience,experience_detail,tab_overview,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_ticket_list_tour,Package options,experience_detail|tab_ticket_list_tour,experience,experience_detail,tab_ticket_list_tour,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_tab_ticket_list_tour,Package options,experience_detail|ticket_list_tour,experience,experience_detail,tab_ticket_list_tour,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_tab_ticket_list_travel_essentials,Service options,experience_detail|tab_ticket_list_travel_essentials,experience,experience_detail,tab_ticket_list_travel_essentials,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_tab_ticket_list_travel_essentials,Service options,experience_detail|ticket_list_travel_essentials,experience,experience_detail,tab_ticket_list_travel_essentials,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_ticket_selection_title_jr_pass,Pass options,experience_detail|ticket_selection_title_jr_pass,experience,experience_detail,ticket_selection_title_jr_pass,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_ticket_selection_title_jr_pass,Pass options,experience_detail|ticket_selection_jr_pass,experience,experience_detail,ticket_selection_title_jr_pass,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_ticket_selection_title_tour,Package options,experience_detail|ticket_selection_title_tour,experience,experience_detail,ticket_selection_title_tour,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_ticket_selection_title_tour,Package options,experience_detail|ticket_selection_tour,experience,experience_detail,ticket_selection_title_tour,TRUE,high,value-identical cross-platform → merged
andpoe.experience_detail_ticket_selection_title_travel_essentials,Service options,experience_detail|ticket_selection_title_travel_essentials,experience,experience_detail,ticket_selection_title_travel_essentials,TRUE,high,value-identical cross-platform → merged
iospoe.experience_detail_ticket_selection_title_travel_essentials,Service options,experience_detail|ticket_selection_travel_essentials,experience,experience_detail,ticket_selection_title_travel_essentials,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_download_voucher_ticket,Download {0},(blank),experience,experience_download,voucher_ticket,FALSE,high,blank → first-token feature rule
andpoe.text_experience_downloading_title_format,Downloading your {0},(blank),experience,experience_downloading,title_format,FALSE,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_easy_refund,Easy Refund,(blank),experience,experience_dynamic,cancellation_easy_refund,FALSE,high,blank → first-token feature rule
andpoe.experience_dynamic_cancellation_non_refundable,Non-refundable,(blank),experience,experience_dynamic,cancellation_non_refundable,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_no_visit_date_common,Request a refund at the latest,(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_common,FALSE,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_no_visit_date_item,<b>{0} day(s)</b> before your selected visit date to get <b>up to {1}% refund.</b>,(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_item,FALSE,high,blank → first-token feature rule
andpoe.experience_dynamic_cancellation_policy_no_visit_date_item_v2,"<![CDATA[""To get up to <b>{0}%</b> refund, request should be made <b>max. {1} day(s)</b> before selected date.""]]>",(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_item_v2,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_no_visit_date_item_v2,"To get up to <b>{0}%</b> refund, request should be made <b>max. {1} day(s)</b> before selected date.",(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_item_v2,,high,blank → first-token feature rule
andpoe.experience_dynamic_cancellation_policy_no_visit_date_latest,"<![CDATA[""If refund is requested less than <b>{0} day(s)</b> before selected date, it will be rejected.""]]>",(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_latest,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_no_visit_date_latest,"If refund is requested less than <b>{0} day(s)</b> before selected date, it will be rejected.",(blank),experience,experience_dynamic,cancellation_policy_no_visit_date_latest,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_non_refundable,This booking is non-refundable.,(blank),experience,experience_dynamic,cancellation_policy_non_refundable,FALSE,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_visit_date_common,Request a refund at the latest by,(blank),experience,experience_dynamic,cancellation_policy_visit_date_common,FALSE,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_visit_date_item,"To get up to <b>{0}%</b> refund, request should be made on <b>{1}</b> at the latest.",(blank),experience,experience_dynamic,cancellation_policy_visit_date_item,FALSE,high,blank → first-token feature rule
andpoe.experience_dynamic_cancellation_policy_visit_date_item_v2,"<![CDATA[""To get up to <b>{0}%</b> refund, request should be made on <b>{1}</b> at the latest.""]]>",(blank),experience,experience_dynamic,cancellation_policy_visit_date_item_v2,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_visit_date_item_v2,"To get up to <b>{0}%</b> refund, request should be made on <b>{1}</b> at the latest.",(blank),experience,experience_dynamic,cancellation_policy_visit_date_item_v2,,high,blank → first-token feature rule
andpoe.experience_dynamic_cancellation_policy_visit_date_latest,"<![CDATA[After <b>{0}</b>, the booking will be non-refundable.]]>",(blank),experience,experience_dynamic,cancellation_policy_visit_date_latest,,high,blank → first-token feature rule
iospoe.experience_dynamic_cancellation_policy_visit_date_latest,"After <b>{0}</b>, the booking will be non-refundable.",(blank),experience,experience_dynamic,cancellation_policy_visit_date_latest,,high,blank → first-token feature rule
andpoe.text_experience_e_ticket,E-ticket,(blank),experience,experience_e,ticket,FALSE,high,blank → first-token feature rule
andpoe.text_experience_e_voucher,Voucher,(blank),experience,experience_e,voucher,FALSE,high,blank → first-token feature rule
andpoe.text_experience_enable_gps_label_button_negative,Maybe Later,(blank),experience,experience_enable,gps_label_button_negative,FALSE,high,blank → first-token feature rule
andpoe.text_experience_enable_gps_label_button_positive,Enable Now,(blank),experience,experience_enable,gps_label_button_positive,FALSE,high,blank → first-token feature rule
andpoe.text_experience_error_choose_time_slot,Please choose a time slot,(blank),experience,experience_error,choose_time_slot,FALSE,high,blank → first-token feature rule
andpoe.experience_error_state_subtitle_connection_issue,Ensure you’re connected to the internet first then reload the page.,(blank),experience,experience_error,state_subtitle_connection_issue,TRUE,high,value-identical cross-platform → merged
iospoe.experience_error_state_subtitle_connection_issue,Ensure you’re connected to the internet first then reload the page.,(blank),experience,experience_error,state_subtitle_connection_issue,TRUE,high,value-identical cross-platform → merged
andpoe.experience_error_state_title_connection_issue,No internet connection,(blank),experience,experience_error,state_title_connection_issue,TRUE,high,value-identical cross-platform → merged
iospoe.experience_error_state_title_connection_issue,No internet connection,(blank),experience,experience_error,state_title_connection_issue,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_eticket_barcode_partner_booking_id_param,Partner Booking ID: {0},(blank),experience,experience_eticket,barcode_partner_booking_id_param,FALSE,high,blank → first-token feature rule
andpoe.text_experience_eticket_barcode_voucher_id_param,Voucher ID: {0},(blank),experience,experience_eticket,barcode_voucher_id_param,FALSE,high,blank → first-token feature rule
andpoe.experience_event_login_dialog_cta_back,Back to previous page,experience_event|login_dialog_cta_back,experience,experience_event,login_dialog_cta_back,TRUE,high,value-identical cross-platform → merged
iospoe.experience_event_login_dialog_cta_back,Back to previous page,experience_event|login_dialog_back,experience,experience_event,login_dialog_cta_back,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_filter_features_section_label,More Filters,experience_filter|features_section_label,experience,experience_filter,features_section_label,TRUE,high,value-identical cross-platform → merged
iospoe.experience.search-result-filter.label.feature-title,More Filters,experience_search|result_filter_label_feature_title,experience,experience_filter,features_section_label,TRUE,high,value-identical cross-platform → merged
andpoe.experience_floating_filter_promo,Promo,(blank),experience,experience_floating,filter_promo,TRUE,high,value-identical cross-platform → merged
iospoe.experience_floating_filter_promo,Promo,(blank),experience,experience_floating,filter_promo,TRUE,high,value-identical cross-platform → merged
andpoe.experience_floating_filter_tray_title_filter,Filters,experience_floating|filter_tray_title_filter,experience,experience_floating,filter_tray_title_filter,TRUE,high,value-identical cross-platform → merged
iospoe.experience_floating_filter_tray_title_filter,Filters,experience_floating|filter_tray_filter,experience,experience_floating,filter_tray_title_filter,TRUE,high,value-identical cross-platform → merged
andpoe.experience_floating_filter_tray_title_promo,Promo,experience_floating|filter_tray_title_promo,experience,experience_floating,filter_tray_title_promo,TRUE,high,value-identical cross-platform → merged
iospoe.experience_floating_filter_tray_title_promo,Promo,experience_floating|filter_tray_promo,experience,experience_floating,filter_tray_title_promo,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_geo_dp_description_see_less,See Less,experience_geo|dp_description_see_less,experience,experience_geo,dp_description_see_less,TRUE,high,value-identical cross-platform → merged
iospoe.experience_ticket_detail_see_less,See Less,experience_ticket|detail_see_less,experience,experience_geo,dp_description_see_less,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_geo_dp_description_see_more,See More,experience_geo|dp_description_see_more,experience,experience_geo,dp_description_see_more,TRUE,high,value-identical cross-platform → merged
iospoe.experience.destination-page.button.see-more,See More,experience_destination|page_see_more,experience,experience_geo,dp_description_see_more,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_geo_inside_label_at,at {0},(blank),experience,experience_geo,inside_label_at,FALSE,high,blank → first-token feature rule
andpoe.experience_image_grid_see_all_photo_cta,See all\nphotos,(blank),experience,experience_image,grid_see_all_photo_cta,,high,blank → first-token feature rule
iospoe.experience_image_grid_see_all_photo_cta,"See all
photos",(blank),experience,experience_image,grid_see_all_photo_cta,,high,blank → first-token feature rule
andpoe.text_experience_inclusive_tax_my,Inclusive of applicable taxes,(blank),experience,experience_inclusive,tax_my,FALSE,high,blank → first-token feature rule
andpoe.text_experience_inclusive_tax_th,Inclusive of taxes,(blank),experience,experience_inclusive,tax_th,FALSE,high,blank → first-token feature rule
andpoe.text_experience_inclusive_tax_vn,All charges included,(blank),experience,experience_inclusive,tax_vn,FALSE,high,blank → first-token feature rule
andpoe.experience_landing_search_btn,Search,(blank),experience,experience_landing,search_btn,TRUE,high,value-identical cross-platform → merged
iospoe.experience_landing_search_btn,Search,(blank),experience,experience_landing,search_btn,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_loading_title_collection,"Going Off the Beaten Path…|Roaming the Road Less Traveled…|New Experiences Await You…|Spontaneity Is the Best Kind of Adventure…|Capturing Fleeting yet Memorable Moments…|Find the Courage to Try Something New…|Preparing New Inspirations…|Preparing Your Next Adventure…|Happiness Is on Its Way…|Finding Something You''ll Love…|Ready to Have a Break?|Ready... Set... Go!|Good Things Coming Through…|A Happy Memory Lasts Forever…|Walking Down the Memory Lane…|Boredom Is a Thing of the Past…|Protecting You from Doing Nothing…|Preparing a List of Things to Do…|You Only Live Once…|Looking Forward to the Weekend....|Looking Forward to the Holiday Season…|Taking the Lesser Known Road…|Wandering Around the Blocks…|Strolling Around the Neighborhood…|Embarking on an Exciting Journey…|Enjoying the Sunset with Your Loved Ones…|Unforgettable Experiences Await You…|It''s Time to Venture Out of Your Comfort Zone…|Keep Your Fun Close—and Your Loved Ones Closer…|Go Out More, See More, Learn More…|Happiness Starts from Your Own Surroundings…|Happiness Is in the Air…|A Joyful Mind Brings a Happier Life…|Explore More and Discover Your True Self…|Anticipation Makes the Heart Grow Fonder…|Anticipation Makes the Pleasure More Intense…|The Journey Makes Us Appreciate the Destination…|Everyone Deserves a ''Me'' Time…|Escaping the Daily Grind...",(blank),experience,experience_loading,title_collection,TRUE,high,value-identical cross-platform → merged
iospoe.experience.loading.label.title,"Going Off the Beaten Path…|Roaming the Road Less Traveled…|New Experiences Await You…|Spontaneity Is the Best Kind of Adventure…|Capturing Fleeting yet Memorable Moments…|Find the Courage to Try Something New…|Preparing New Inspirations…|Preparing Your Next Adventure…|Happiness Is on Its Way…|Finding Something You''ll Love…|Ready to Have a Break?|Ready... Set... Go!|Good Things Coming Through…|A Happy Memory Lasts Forever…|Walking Down the Memory Lane…|Boredom Is a Thing of the Past…|Protecting You from Doing Nothing…|Preparing a List of Things to Do…|You Only Live Once…|Looking Forward to the Weekend....|Looking Forward to the Holiday Season…|Taking the Lesser Known Road…|Wandering Around the Blocks…|Strolling Around the Neighborhood…|Embarking on an Exciting Journey…|Enjoying the Sunset with Your Loved Ones…|Unforgettable Experiences Await You…|It''s Time to Venture Out of Your Comfort Zone…|Keep Your Fun Close—and Your Loved Ones Closer…|Go Out More, See More, Learn More…|Happiness Starts from Your Own Surroundings…|Happiness Is in the Air…|A Joyful Mind Brings a Happier Life…|Explore More and Discover Your True Self…|Anticipation Makes the Heart Grow Fonder…|Anticipation Makes the Pleasure More Intense…|The Journey Makes Us Appreciate the Destination…|Everyone Deserves a ''Me'' Time…|Escaping the Daily Grind...",(blank),experience,experience_loading,title_collection,TRUE,high,value-identical cross-platform → merged
andpoe.experience_location_picker_next_flight,Your next flight,(blank),experience,experience_location,picker_next_flight,TRUE,high,value-identical cross-platform → merged
iospoe.experience_location_picker_next_flight,Your next flight,(blank),experience,experience_location,picker_next_flight,TRUE,high,value-identical cross-platform → merged
andpoe.experience_location_picker_next_hotel,Your next stay,(blank),experience,experience_location,picker_next_hotel,TRUE,high,value-identical cross-platform → merged
iospoe.experience_location_picker_next_hotel,Your next stay,(blank),experience,experience_location,picker_next_hotel,TRUE,high,value-identical cross-platform → merged
andpoe.experience_location_picker_next_trip,Your next trip,(blank),experience,experience_location,picker_next_trip,TRUE,high,value-identical cross-platform → merged
iospoe.experience_location_picker_next_trip,Your next trip,(blank),experience,experience_location,picker_next_trip,TRUE,high,value-identical cross-platform → merged
iospoe.experience.location-prompt.landing-page-visit.cancelButtonTitle,Maybe Later,(blank),experience,experience_location,prompt_landing_page_visit_cancelbuttontitle,FALSE,high,blank → first-token feature rule
iospoe.experience.location-prompt.landing-page-visit.confirmButtonTitle,Enable Now,(blank),experience,experience_location,prompt_landing_page_visit_confirmbuttontitle,FALSE,high,blank → first-token feature rule
iospoe.experience.location-prompt.search-nearby.cancelButtonTitle,Maybe Later,(blank),experience,experience_location,prompt_search_nearby_cancelbuttontitle,,high,blank → first-token feature rule
iospoe.experience.location-prompt.search-nearby.confirmButtonTitle,Enable Now,(blank),experience,experience_location,prompt_search_nearby_confirmbuttontitle,,high,blank → first-token feature rule
andpoe.text_experience_loyalty_points_right,{0} Points,(blank),experience,experience_loyalty,points_right,TRUE,high,value-identical cross-platform → merged
iospoe.text_experience_loyalty_points_right,{0} Points,experience_loyalty|points_right,experience,experience_loyalty,points_right,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_map_show_direction,See Direction,(blank),experience,experience_map,show_direction,TRUE,high,value-identical cross-platform → merged
iospoe.experience.product-detail-map.label.show-direction,See Direction,(blank),experience,experience_map,show_direction,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_merchandising_enable_gps_title,Enable Your Location Services,experience_merchandising|enable_gps_title,experience,experience_merchandising,enable_gps_title,TRUE,high,value-identical cross-platform → merged
iospoe.experience.location-prompt.landing-page-visit.title,Enable Your Location Services,experience_location|prompt_landing_page_visit_title,experience,experience_merchandising,enable_gps_title,TRUE,high,value-identical cross-platform → merged
andpoe.experience_new_autocomplete_subtitle_error_empty_state,Try changing your keywords to help us find what you''re searching for.,(blank),experience,experience_new,autocomplete_subtitle_error_empty_state,TRUE,high,value-identical cross-platform → merged
iospoe.experience_new_autocomplete_subtitle_error_empty_state,Try changing your keywords to help us find what you''re searching for.,(blank),experience,experience_new,autocomplete_subtitle_error_empty_state,TRUE,high,value-identical cross-platform → merged
andpoe.experience_new_autocomplete_title_error_empty_state,"Hmm, Nothing Matches Your Search",(blank),experience,experience_new,autocomplete_title_error_empty_state,TRUE,high,value-identical cross-platform → merged
iospoe.experience_new_autocomplete_title_error_empty_state,"Hmm, Nothing Matches Your Search",(blank),experience,experience_new,autocomplete_title_error_empty_state,TRUE,high,value-identical cross-platform → merged
andpoe.experience_no_preference,Anyone,(blank),experience,experience_no,preference,TRUE,high,value-identical cross-platform → merged
iospoe.experience_voucher_no_preference,Anyone,(blank),experience,experience_no,preference,TRUE,high,value-identical cross-platform → merged
andpoe.text_experience_no_timeslot_voucher_default_param,Voucher Type(s),(blank),experience,experience_no,timeslot_voucher_default_param,FALSE,high,blank → first-token feature rule
andpoe.experience_owlet_ticket_detail_footer_book_now,Select,experience_owlet|ticket_detail_footer_book_now,experience,experience_owlet,ticket_detail_footer_book_now,TRUE,high,value-identical cross-platform → merged
iospoe.experience_owlet_ticket_detail_footer_book_now,Select,(blank),experience,experience_owlet,ticket_detail_footer_book_now,TRUE,high,value-identical cross-platform → merged
andpoe.experience_owlet_ticket_detail_footer_price_inclusion,Includes taxes and fees,experience_owlet|ticket_detail_footer_price_inclusion,experience,experience_owlet,ticket_detail_footer_price_inclusion,TRUE,high,value-identical cross-platform → merged
iospoe.experience_owlet_ticket_detail_footer_price_inclusion,Includes taxes and fees,(blank),experience,experience_owlet,ticket_detail_footer_price_inclusion,TRUE,high,value-identical cross-platform → merged
andpoe.experience_owlet_ticket_detail_footer_unavailable,Item is unavailable,experience_owlet|ticket_detail_footer_unavailable,experience,experience_owlet,ticket_detail_footer_unavailable,TRUE,high,value-identical cross-platform → merged
iospoe.experience_owlet_ticket_detail_footer_unavailable,Item is unavailable,(blank),experience,experience_owlet,ticket_detail_footer_unavailable,TRUE,high,value-identical cross-platform → merged
andpoe.experience_owlet_ticket_detail_header_see_details,See details,experience_owlet|ticket_detail_header_see_details,experience,experience_owlet,ticket_detail_header_see_details,TRUE,high,value-identical cross-platform → merged
iospoe.experience_owlet_ticket_detail_header_see_details,See details,experience_owlet|ticket_detail_see_details,experience,experience_owlet,ticket_detail_header_see_details,TRUE,high,value-identical cross-platform → merged
andpoe.experience_owlet_ticket_detail_price_includes,What''s included,experience_owlet|ticket_detail_price_includes,experience,experience_owlet,ticket_detail_price_includes,TRUE,high,value-identical cross-platform → merged
iospoe.experience_owlet_ticket_detail_price_includes,What''s included,(blank),experience,experience_owlet,ticket_detail_price_includes,TRUE,high,value-identical cross-platform → merged
andpoe.experience_owlet_ticket_detail_section_about_this_ticket,About this item,experience_owlet|ticket_detail_section_about_this_ticket,experience,experience_owlet,ticket_detail_section_about_this_ticket,TRUE,high,value-identical cross-platform → merged
